"","election_year","state","election_type","dem_votes","rep_votes","total_votes","margin","sig_third"
"369",1934,"TN","S",200249,0,250022,80.0925518554367,FALSE
"370",1934,"TX","G",437254,12861,452259,93.8384863540582,FALSE
"371",1934,"UT","G",95931,82154,180792,7.62035930793398,FALSE
"372",1934,"VA","G",109963,30289,144750,55.0424870466321,FALSE
"373",1934,"VT","G",63632,67146,131552,-2.67118705910971,FALSE
"374",1934,"WA","G",302606,168994,496688,26.9005895048803,FALSE
"375",1934,"WI","G",223438,210569,921926,1.3958820989971,TRUE
"376",1934,"WV","G",349882,281756,634569,10.7357907493117,FALSE
"377",1934,"WY","G",53806,40819,95026,13.6667859322712,FALSE
"378",1936,"AL","G",239632,33698,275353,74.7890889149564,FALSE
"379",1936,"AR","G",155075,30997,189497,65.4775537343599,FALSE
"380",1936,"CO","G",299376,166308,471827,28.2027098915492,FALSE
"381",1936,"DE","G",67136,52460,126729,11.5806169069432,FALSE
"382",1936,"FL","S",244965,57016,544594,34.5117647274851,TRUE
"383",1936,"GA","G",263468,0,263468,100,FALSE
"384",1936,"IA","G",539555,503635,1068757,3.36091365951287,FALSE
"385",1936,"IA","S",536075,481521,1033775,5.27716379289497,FALSE
"386",1936,"ID","G",74444,128723,203167,-26.7164450919687,FALSE
"387",1936,"IL","G",2142887,1545160,3794653,15.7518223668936,FALSE
"388",1936,"KS","G",396685,417873,819368,-2.58589547065543,FALSE
"389",1936,"KY","G",539968,365850,918327,18.9603485468684,FALSE
"390",1936,"LA","G",293256,0,293263,99.9976130640415,FALSE
"391",1936,"MA","G",739751,875160,1803357,-7.50871846229005,FALSE
"392",1936,"ME","G",153420,158068,311488,-1.49219231559482,FALSE
"393",1936,"MI","G",910937,714602,1709564,11.4845071608901,FALSE
"394",1936,"MN","G",0,402404,1065767,-37.7572208559657,TRUE
"395",1936,"MS","G",140570,0,140570,100,FALSE
"396",1936,"MT","G",121769,60038,221462,27.8743080076943,FALSE
"397",1936,"NC","G",564088,233000,797088,41.537195391224,FALSE
"398",1936,"NE","G",108390,223276,590366,-19.4601315116385,TRUE
"399",1936,"NH","G",99195,107923,208107,-4.19399635764294,FALSE
"400",1936,"NJ","G",916405,740088,1669282,10.5624454106616,FALSE
"401",1936,"NM","G",104550,64817,169443,23.4491835012364,FALSE
"402",1936,"NM","S",94585,75030,169687,11.5241591872094,FALSE
