"","year","state_po","margin"
"199",2008,"VA",6.29896918292034
"200",2008,"VT",37.0064544710595
"201",2008,"WA",17.1765872715335
"202",2008,"WI",13.9041240295943
"203",2008,"WV",-13.120592724658
"204",2008,"WY",-32.2042808272918
"205",2012,"AK",-13.98891828483
"206",2012,"AL",-22.1867892310703
"207",2012,"AR",-23.687945782389
"208",2012,"AZ",-9.06476622417532
"209",2012,"CA",23.1185806209848
"210",2012,"CO",5.36513491256719
"211",2012,"CT",17.3398990119394
"212",2012,"DC",83.6348225105867
"213",2012,"DE",18.6281379110392
"214",2012,"FL",0.876887306723165
"215",2012,"GA",-7.82128251064244
"216",2012,"HI",42.465784760236
"217",2012,"IA",5.81014802361299
"218",2012,"ID",-31.907449936683
"219",2012,"IL",16.8693940916602
"220",2012,"IN",-10.1982294761661
"221",2012,"KS",-21.7167498152971
"222",2012,"KY",-22.6918137648758
"223",2012,"LA",-17.2071121051721
"224",2012,"MA",23.0191860048816
"225",2012,"MD",26.0764584403731
"226",2012,"ME",15.0436421536568
"227",2012,"MI",9.49728818309853
"228",2012,"MN",7.69410204657761
"229",2012,"MO",-9.38025759042375
"230",2012,"MS",-11.4964871995918
"231",2012,"MT",-13.6533980101147
"232",2012,"NC",-2.0420955250754
"233",2012,"ND",-19.6183716695775
"234",2012,"NE",-21.7758777611191
"235",2012,"NH",5.5758876580231
"236",2012,"NJ",17.7187900834932
"237",2012,"NM",10.1494338813767
"238",2012,"NV",6.68093382913694
"239",2012,"NY",27.9120316142797
"240",2012,"OH",2.9783067798973
"241",2012,"OK",-33.5446394860331
"242",2012,"OR",12.0894554762557
"243",2012,"PA",5.39599166846626
"244",2012,"RI",27.4572972924499
"245",2012,"SC",-10.4730978484999
"246",2012,"SD",-18.0231711171887
"247",2012,"TN",-20.4028997261424
"248",2012,"TX",-15.7836191842955
"249",2012,"UT",-48.0408672747287
"250",2012,"VA",3.87335389982952
"251",2012,"VT",35.5979150656554
"252",2012,"WA",14.8687768675636
"253",2012,"WI",6.83781582153483
"254",2012,"WV",-26.756538263046
"255",2012,"WY",-40.5566790718824
"256",2016,"AK",-14.7306407874253
"257",2016,"AL",-27.7251466064354
"258",2016,"AR",-26.9209780344674
"259",2016,"AZ",-3.54559462762784
"260",2016,"CA",30.1092930661184
"261",2016,"CO",4.90558301141636
"262",2016,"CT",13.6393867178951
"263",2016,"DC",86.4135007598176
"264",2016,"DE",11.4305124663149
"265",2016,"FL",-1.19862561078569
"266",2016,"GA",-5.13134269741018
"267",2016,"HI",31.5410908825035
"268",2016,"IA",-9.40954789918113
"269",2016,"ID",-31.7694185482177
"270",2016,"IL",17.063613624968
"271",2016,"IN",-19.1651937616592
"272",2016,"KS",-20.6022110736051
"273",2016,"KY",-29.8374502182523
"274",2016,"LA",-19.6391185550548
"275",2016,"MA",26.7638623058161
"276",2016,"MD",26.4164395066451
"277",2016,"ME",2.86853601281008
"278",2016,"MI",-0.223033269129312
"279",2016,"MN",1.51984085748962
"280",2016,"MO",-18.6371170029249
"281",2016,"MS",-17.8262498170515
"282",2016,"MT",-20.5309730934268
"283",2016,"NC",-3.65522852797094
"284",2016,"ND",-35.7288883726333
"285",2016,"NE",-25.0485947499902
"286",2016,"NH",0.367595687737137
"287",2016,"NJ",14.1026977996647
"288",2016,"NM",8.21313284539138
