"","Geography","County","State","Total Population","Percent one race","Percent White alone","Percent Black alone","Percent Native American alone","Percent Asian alone","Percent Pacific Islander alone","Percent Other alone","Percent multiracial","Percent Hispanic or Latino","Estimated Median Household Income","Percent high school graduate or higher 25 years and over","Percent bachelor's degree or higher 25 years and over","rank"
"2792","0500000US49027","Millard","Utah",12975,"94.80%","83.66%","0.12%","1.17%","1.09%","0.10%","8.66%","5.20%","12.77%",69403,"90.5","23.6",18
"2793","0500000US49029","Morgan","Utah",12295,"96.42%","95.09%","0.10%","0.35%","0.46%","0.02%","0.40%","3.58%","3.08%",120854,"98.2","37.6",19
"2794","0500000US49031","Piute","Utah",1438,"91.66%","89.78%","0.00%","0.42%","0.00%","0.00%","1.46%","8.34%","5.22%",33359,"88.9","19.6",28
"2795","0500000US49033","Rich","Utah",2510,"96.18%","93.98%","0.44%","0.12%","0.08%","0.16%","1.39%","3.82%","10.20%",69250,"95.8","26.8",26
"2796","0500000US49035","Salt Lake","Utah",1185238,"90.13%","71.54%","1.98%","1.11%","4.31%","1.83%","9.36%","9.87%","19.00%",90011,"91.8","37.7",1
"2797","0500000US49037","San Juan","Utah",14518,"95.72%","43.22%","0.25%","50.13%","0.37%","0.37%","1.38%","4.28%","6.34%",52108,"87.8","19.1",17
"2798","0500000US49039","Sanpete","Utah",28437,"95.09%","85.37%","0.79%","1.08%","0.60%","0.87%","6.39%","4.91%","9.62%",64356,"89.8","22.3",13
"2799","0500000US49041","Sevier","Utah",21522,"95.66%","91.38%","0.30%","1.58%","0.21%","0.23%","1.96%","4.34%","5.69%",66972,"92.0","22.8",14
"2800","0500000US49043","Summit","Utah",42357,"93.16%","84.82%","0.41%","0.31%","1.72%","0.10%","5.80%","6.84%","11.08%",126392,"96.0","57.4",10
"2801","0500000US49045","Tooele","Utah",72698,"91.91%","83.92%","0.64%","1.00%","0.72%","0.90%","4.73%","8.09%","13.93%",95545,"92.6","22.6",7
"2802","0500000US49047","Uintah","Utah",35620,"93.78%","83.12%","0.28%","6.83%","0.47%","0.27%","2.81%","6.22%","8.83%",67983,"88.7","18.0",11
"2803","0500000US49049","Utah","Utah",659399,"91.00%","81.55%","0.67%","0.70%","1.58%","1.02%","5.49%","9.00%","12.59%",91263,"95.3","42.8",2
"2804","0500000US49051","Wasatch","Utah",34788,"92.60%","83.74%","0.45%","0.54%","1.04%","0.12%","6.71%","7.40%","13.82%",104855,"95.5","46.7",12
"2805","0500000US49053","Washington","Utah",180279,"92.91%","84.19%","0.55%","1.21%","1.04%","0.93%","5.00%","7.09%","11.31%",71976,"94.4","32.8",5
"2806","0500000US49055","Wayne","Utah",2486,"94.85%","91.83%","0.04%","0.76%","0.64%","0.12%","1.45%","5.15%","1.85%",64870,"93.1","22.2",27
"2807","0500000US49057","Weber","Utah",262223,"90.98%","78.33%","1.38%","1.04%","1.47%","0.39%","8.37%","9.02%","18.83%",82291,"92.2","27.0",4
"2808","0500000US50001","Addison","Vermont",37363,"94.53%","90.45%","0.98%","0.30%","1.60%","0.03%","1.17%","5.47%","2.50%",85870,"94.5","41.8",7
"2809","0500000US50003","Bennington","Vermont",37347,"94.83%","91.53%","1.15%","0.19%","1.09%","0.01%","0.86%","5.17%","2.39%",68558,"94.1","39.4",8
"2810","0500000US50005","Caledonia","Vermont",30233,"94.54%","91.48%","0.77%","0.33%","1.22%","0.06%","0.68%","5.46%","1.92%",62964,"93.7","31.5",9
"2811","0500000US50007","Chittenden","Vermont",168323,"94.09%","85.69%","2.92%","0.23%","4.30%","0.03%","0.92%","5.91%","2.55%",89494,"95.3","55.7",1
