date,value
2006-07-24,3.003
2006-07-31,3.004
2006-08-07,3.038
2006-08-14,3.000
2006-08-21,2.924
2006-08-28,2.845
2006-09-04,2.727
2006-09-11,2.618
2006-09-18,2.497
2006-09-25,2.378
2006-10-02,2.310
2006-10-09,2.261
2006-10-16,2.226
2006-10-23,2.208
2006-10-30,2.218
2006-11-06,2.200
2006-11-13,2.232
2006-11-20,2.239
2006-11-27,2.246
2006-12-04,2.297
2006-12-11,2.293
2006-12-18,2.320
2006-12-25,2.341
2007-01-01,2.334
2007-01-08,2.306
2007-01-15,2.229
2007-01-22,2.165
2007-01-29,2.165
2007-02-05,2.191
2007-02-12,2.241
2007-02-19,2.296
2007-02-26,2.383
2007-03-05,2.505
2007-03-12,2.559
2007-03-19,2.577
2007-03-26,2.610
2007-04-02,2.707
2007-04-09,2.802
2007-04-16,2.876
2007-04-23,2.869
2007-04-30,2.971
2007-05-07,3.054
2007-05-14,3.103
2007-05-21,3.218
2007-05-28,3.209
2007-06-04,3.157
2007-06-11,3.076
2007-06-18,3.009
2007-06-25,2.982
2007-07-02,2.959
2007-07-09,2.981
2007-07-16,3.049
2007-07-23,2.958
2007-07-30,2.876
2007-08-06,2.838
2007-08-13,2.771
2007-08-20,2.785
2007-08-27,2.749
2007-09-03,2.796
2007-09-10,2.818
2007-09-17,2.787
2007-09-24,2.812
2007-10-01,2.788
2007-10-08,2.770
2007-10-15,2.762
2007-10-22,2.823
2007-10-29,2.872
2007-11-05,3.013
2007-11-12,3.111
2007-11-19,3.099
2007-11-26,3.097
2007-12-03,3.061
2007-12-10,3.000
2007-12-17,2.998
2007-12-24,2.980
2007-12-31,3.053
2008-01-07,3.109
2008-01-14,3.068
2008-01-21,3.017
2008-01-28,2.977
2008-02-04,2.978
2008-02-11,2.960
2008-02-18,3.042
2008-02-25,3.130
2008-03-03,3.162
2008-03-10,3.225
2008-03-17,3.284
2008-03-24,3.259
2008-03-31,3.290
2008-04-07,3.332
2008-04-14,3.389
2008-04-21,3.508
2008-04-28,3.603
2008-05-05,3.613
2008-05-12,3.722
2008-05-19,3.791
2008-05-26,3.937
2008-06-02,3.976
2008-06-09,4.039
2008-06-16,4.082
2008-06-23,4.079
2008-06-30,4.095
2008-07-07,4.114
2008-07-14,4.113
2008-07-21,4.064
2008-07-28,3.955
2008-08-04,3.880
2008-08-11,3.809
2008-08-18,3.740
2008-08-25,3.685
2008-09-01,3.680
2008-09-08,3.648
2008-09-15,3.835
2008-09-22,3.718
2008-09-29,3.632
2008-10-06,3.484
2008-10-13,3.151
2008-10-20,2.914
2008-10-27,2.656
2008-11-03,2.400
2008-11-10,2.224
2008-11-17,2.072
2008-11-24,1.892
2008-12-01,1.811
2008-12-08,1.699
2008-12-15,1.659
2008-12-22,1.653
2008-12-29,1.613
2009-01-05,1.684
2009-01-12,1.784
2009-01-19,1.847
2009-01-26,1.838
2009-02-02,1.892
2009-02-09,1.926
2009-02-16,1.964
2009-02-23,1.909
2009-03-02,1.934
2009-03-09,1.941
2009-03-16,1.910
2009-03-23,1.962
2009-03-30,2.046
2009-04-06,2.037
2009-04-13,2.051
2009-04-20,2.059
2009-04-27,2.049
2009-05-04,2.078
2009-05-11,2.240
2009-05-18,2.309
2009-05-25,2.435
2009-06-01,2.524
2009-06-08,2.624
2009-06-15,2.672
2009-06-22,2.691
2009-06-29,2.642
2009-07-06,2.612
2009-07-13,2.528
2009-07-20,2.463
2009-07-27,2.503
2009-08-03,2.557
2009-08-10,2.647
2009-08-17,2.637
2009-08-24,2.628
2009-08-31,2.613
2009-09-07,2.588
2009-09-14,2.577
2009-09-21,2.552
2009-09-28,2.499
2009-10-05,2.468
2009-10-12,2.489
2009-10-19,2.574
2009-10-26,2.674
2009-11-02,2.694
2009-11-09,2.666
2009-11-16,2.629
2009-11-23,2.639
2009-11-30,2.629
2009-12-07,2.634
2009-12-14,2.599
2009-12-21,2.589
2009-12-28,2.607
2010-01-04,2.665
2010-01-11,2.751
2010-01-18,2.739
2010-01-25,2.705
2010-02-01,2.661
2010-02-08,2.652
2010-02-15,2.608
2010-02-22,2.655
2010-03-01,2.702
2010-03-08,2.751
2010-03-15,2.788
2010-03-22,2.819
2010-03-29,2.798
2010-04-05,2.826
2010-04-12,2.858
2010-04-19,2.860
2010-04-26,2.849
2010-05-03,2.898
2010-05-10,2.905
